timestamp,technology,capacity_factor,generation_mw,capacity_mw
2024-01-01 00:00:00,solar,0.0,0.0,100
2024-01-01 01:00:00,solar,0.0,0.0,100
2024-01-01 06:00:00,solar,0.05,5.0,100
2024-01-01 07:00:00,solar,0.15,15.0,100
2024-01-01 08:00:00,solar,0.35,35.0,100
2024-01-01 09:00:00,solar,0.55,55.0,100
2024-01-01 10:00:00,solar,0.75,75.0,100
2024-01-01 11:00:00,solar,0.85,85.0,100
2024-01-01 12:00:00,solar,0.90,90.0,100
2024-01-01 13:00:00,solar,0.85,85.0,100
2024-01-01 14:00:00,solar,0.75,75.0,100
2024-01-01 15:00:00,solar,0.55,55.0,100
2024-01-01 16:00:00,solar,0.35,35.0,100
2024-01-01 17:00:00,solar,0.15,15.0,100
2024-01-01 18:00:00,solar,0.02,2.0,100
2024-01-01 19:00:00,solar,0.0,0.0,100
2024-01-01 00:00:00,wind_onshore,0.45,45.0,100
2024-01-01 01:00:00,wind_onshore,0.52,52.0,100
2024-01-01 02:00:00,wind_onshore,0.48,48.0,100
2024-01-01 03:00:00,wind_onshore,0.55,55.0,100
2024-01-01 04:00:00,wind_onshore,0.60,60.0,100
2024-01-01 12:00:00,wind_onshore,0.75,75.0,100
